Year,Make,Model,Vehicle Class,Motor,Transmission,Fuel,City Consumption kWh,Hwy Consumption kWh,Comb Consumption kWh,City Consumption Le,Hwy Consumption Le,Comb Consumption Le,Range,CO2 Emissions,CO2 Rating,Smog Rating,Recharge Time
2021,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,13.9,15.7,14.8,1.6,1.8,1.7,423,0,10,10,8.5
2021,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,14.9,16.5,15.6,1.7,1.9,1.8,568,0,10,10,10
2021,Tesla,Model 3 Performance,Mid-size,358,A1,B,17.8,19.6,18.6,2,2.2,2.1,507,0,10,10,10
2021,Tesla,Model S Long Range,Full-size,494,A1,B,16.9,18.3,17.5,1.9,2.1,2,652,0,10,10,15
2021,Tesla,Model S Long Range Plus,Full-size,398,A1,B,18.1,19.3,18.6,2,2.2,2.1,629,0,10,10,12
2021,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,18.4,19.7,19,2.1,2.2,2.1,623,0,10,10,12
2021,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,21.3,22.6,21.9,2.4,2.5,2.5,538,0,10,10,12
2021,Tesla,"Model S Plaid (19"" Wheels)",Full-size,750,A1,B,17.6,18.7,18.1,2,2.1,2,637,0,10,10,15
2021,Tesla,"Model S Plaid (21"" Wheels)",Full-size,750,A1,B,20.4,21.2,20.8,2.3,2.4,2.3,560,0,10,10,15
2021,Tesla,Model X Long Range,SUV: Standard,494,A1,B,19.7,21.7,20.6,2.2,2.4,2.3,560,0,10,10,14
2021,Tesla,Model X Long Range Plus,SUV: Standard,398,A1,B,19.3,20.7,19.9,2.2,2.3,2.2,597,0,10,10,12
2021,Tesla,"Model X Performance (20"" Wheels)",SUV: Standard,580,A1,B,21,22.1,21.5,2.4,2.5,2.4,549,0,10,10,12
2021,Tesla,"Model X Performance (22"" Wheels)",SUV: Standard,580,A1,B,23.7,25.3,24.4,2.7,2.8,2.7,483,0,10,10,12
2021,Tesla,Model Y Standard Range,SUV: Small,211,A1,B,15,17.6,16.2,1.7,2,1.8,393,0,10,10,8
2021,Tesla,Model Y Long Range AWD,SUV: Small,358,A1,B,15.9,17.9,16.8,1.8,2,1.9,525,0,10,10,10
2021,Tesla,Model Y Performance,SUV: Small,358,A1,B,18.2,19.8,18.9,2,2.2,2.1,488,0,10,10,10
2021,Volkswagen,ID.4 Pro,SUV: Small,150,A1,B,20.2,23.4,21.7,2.3,2.6,2.4,400,0,10,10,7.5
2021,Volkswagen,ID.4 AWD Pro,SUV: Small,220,A1,B,21.5,23.9,22.5,2.4,2.7,2.5,386,0,10,10,7.5
2021,Volvo,XC40 Recharge,SUV: Small,300,A1,B,24.5,29.2,26.6,2.8,3.3,3,335,0,10,10,8
